date,commodity,market,modal_price,arrivals
2021-01-23,Tomato,Pune,2410.13,116.11
2021-01-24,Tomato,Pune,2467.96,102.17
2021-01-25,Tomato,Pune,2508.36,96.06
2021-01-26,Tomato,Pune,2508.94,92.27
2021-01-27,Tomato,Pune,2443.67,79.87
2021-01-28,Tomato,Pune,2488.44,69.07
2021-01-29,Tomato,Pune,2489.77,90.6
2021-01-30,Tomato,Pune,2503.71,78.52
2021-01-31,Tomato,Pune,2207.41,100.84
2021-02-01,Tomato,Pune,2339.17,74.12
2021-02-02,Tomato,Pune,2559.76,116.03
2021-02-03,Tomato,Pune,2374.85,98.27
2021-02-04,Tomato,Pune,2436.41,87.06
2021-02-05,Tomato,Pune,2555.81,107.32
2021-02-06,Tomato,Pune,2374.71,100.08
2021-02-07,Tomato,Pune,2635.84,99.3
2021-02-08,Tomato,Pune,2584.93,111.52
2021-02-09,Tomato,Pune,2649.67,103.84
2021-02-10,Tomato,Pune,2507.12,88.38
2021-02-11,Tomato,Pune,2504.74,86.19
2021-02-12,Tomato,Pune,2260.59,99.78
2021-02-13,Tomato,Pune,2540.31,83.98
2021-02-14,Tomato,Pune,2476.76,93.02
2021-02-15,Tomato,Pune,2665.15,82.4
2021-02-16,Tomato,Pune,2667.52,47.01
2021-02-17,Tomato,Pune,2668.83,107.11
2021-02-18,Tomato,Pune,2617.66,59.51
2021-02-19,Tomato,Pune,2633.93,88.29
2021-02-20,Tomato,Pune,2210.36,125.46
2021-02-21,Tomato,Pune,2689.36,58.26
2021-02-22,Tomato,Pune,2539.24,113.66
2021-02-23,Tomato,Pune,2667.89,100.23
2021-02-24,Tomato,Pune,2204.64,117.16
2021-02-25,Tomato,Pune,2498.12,109.41
2021-02-26,Tomato,Pune,2556.97,91.82
2021-02-27,Tomato,Pune,2605.03,87.62
2021-02-28,Tomato,Pune,2527.05,84.99
2021-03-01,Tomato,Pune,2339.1,109.35
2021-03-02,Tomato,Pune,2436.77,93.92
2021-03-03,Tomato,Pune,2569.62,60.34
2021-03-04,Tomato,Pune,2313.45,97.37
2021-03-05,Tomato,Pune,2592.94,101.84
2021-03-06,Tomato,Pune,2348.97,109.99
2021-03-07,Tomato,Pune,2511.99,80.67
2021-03-08,Tomato,Pune,2465.0,107.83
2021-03-09,Tomato,Pune,2577.07,92.07
2021-03-10,Tomato,Pune,2574.73,105.33
2021-03-11,Tomato,Pune,2535.12,93.81
2021-03-12,Tomato,Pune,2684.55,82.04
2021-03-13,Tomato,Pune,2623.3,81.91
2021-03-14,Tomato,Pune,2500.31,92.83
2021-03-15,Tomato,Pune,2613.08,107.79
2021-03-16,Tomato,Pune,2563.81,69.35
2021-03-17,Tomato,Pune,2628.92,126.05
2021-03-18,Tomato,Pune,2567.05,66.09
2021-03-19,Tomato,Pune,2575.18,91.35
2021-03-20,Tomato,Pune,2545.12,106.78
2021-03-21,Tomato,Pune,2721.65,95.79
2021-03-22,Tomato,Pune,2540.93,109.65
2021-03-23,Tomato,Pune,2378.21,88.53
2021-03-24,Tomato,Pune,2485.43,94.52
2021-03-25,Tomato,Pune,2619.25,86.62
2021-03-26,Tomato,Pune,2450.12,111.02
2021-03-27,Tomato,Pune,2530.93,94.69
2021-03-28,Tomato,Pune,2625.59,89.96
2021-03-29,Tomato,Pune,2564.88,107.26
2021-03-30,Tomato,Pune,2578.01,104.22
2021-03-31,Tomato,Pune,2625.31,119.64
2021-04-01,Tomato,Pune,2609.13,99.6
2021-04-02,Tomato,Pune,2692.18,87.67
2021-04-03,Tomato,Pune,2483.37,87.95
2021-04-04,Tomato,Pune,2504.04,79.98
2021-04-05,Tomato,Pune,2597.72,81.05
2021-04-06,Tomato,Pune,2582.71,88.71
2021-04-07,Tomato,Pune,2554.03,100.58
2021-04-08,Tomato,Pune,2493.62,104.24
2021-04-09,Tomato,Pune,2746.3,89.69
2021-04-10,Tomato,Pune,2463.88,86.62
2021-04-11,Tomato,Pune,2527.4,84.38
2021-04-12,Tomato,Pune,2437.64,99.21
2021-04-13,Tomato,Pune,2529.38,96.07
2021-04-14,Tomato,Pune,2697.57,82.95
2021-04-15,Tomato,Pune,2412.17,91.93
2021-04-16,Tomato,Pune,2646.04,98.71
2021-04-17,Tomato,Pune,2614.93,80.43
2021-04-18,Tomato,Pune,2641.97,103.37
2021-04-19,Tomato,Pune,2467.29,95.09
2021-04-20,Tomato,Pune,2792.12,71.62
2021-04-21,Tomato,Pune,2343.94,121.39
2021-04-22,Tomato,Pune,2683.77,80.19
2021-04-23,Tomato,Pune,2532.59,74.72
2021-04-24,Tomato,Pune,2555.53,109.67
2021-04-25,Tomato,Pune,2478.4,108.42
2021-04-26,Tomato,Pune,2597.77,99.16
2021-04-27,Tomato,Pune,2482.55,89.78
2021-04-28,Tomato,Pune,2317.56,93.2
2021-04-29,Tomato,Pune,2677.23,73.37
2021-04-30,Tomato,Pune,2442.37,106.31
2021-05-01,Tomato,Pune,2582.67,101.44
2021-05-02,Tomato,Pune,2393.04,137.14
2021-05-03,Tomato,Pune,2384.97,101.31
2021-05-04,Tomato,Pune,2510.01,76.2
2021-05-05,Tomato,Pune,2482.76,95.44
2021-05-06,Tomato,Pune,2447.27,110.57
2021-05-07,Tomato,Pune,2503.91,74.12
2021-05-08,Tomato,Pune,2350.16,109.49
2021-05-09,Tomato,Pune,2340.82,105.51
2021-05-10,Tomato,Pune,2570.49,76.65
2021-05-11,Tomato,Pune,2621.87,63.76
2021-05-12,Tomato,Pune,2548.35,91.85
2021-05-13,Tomato,Pune,2496.25,76.88
2021-05-14,Tomato,Pune,2395.8,122.85
2021-05-15,Tomato,Pune,2651.73,99.46
2021-05-16,Tomato,Pune,2616.32,102.44
2021-05-17,Tomato,Pune,2462.31,96.62
2021-05-18,Tomato,Pune,2321.96,100.18
2021-05-19,Tomato,Pune,2638.16,78.96
2021-05-20,Tomato,Pune,2616.39,91.12
2021-05-21,Tomato,Pune,2324.79,84.8
2021-05-22,Tomato,Pune,2598.73,98.74
2021-05-23,Tomato,Pune,2497.96,90.37
2021-05-24,Tomato,Pune,2508.33,107.27
2021-05-25,Tomato,Pune,2657.43,110.96
2021-05-26,Tomato,Pune,2522.19,90.93
2021-05-27,Tomato,Pune,2492.3,102.54
2021-05-28,Tomato,Pune,2534.09,112.66
2021-05-29,Tomato,Pune,2722.94,82.4
2021-05-30,Tomato,Pune,2724.85,102.99
2021-05-31,Tomato,Pune,2451.11,118.83
2021-06-01,Tomato,Pune,2662.53,80.99
2021-06-02,Tomato,Pune,2665.12,103.92
2021-06-03,Tomato,Pune,2738.46,78.5
2021-06-04,Tomato,Pune,2408.77,67.65
2021-06-05,Tomato,Pune,2516.65,99.36
2021-06-06,Tomato,Pune,2377.44,98.07
2021-06-07,Tomato,Pune,2284.52,121.0
2021-06-08,Tomato,Pune,2379.95,145.61
2021-06-09,Tomato,Pune,2414.47,86.43
2021-06-10,Tomato,Pune,2382.87,77.91
2021-06-11,Tomato,Pune,2487.0,88.62
2021-06-12,Tomato,Pune,2561.63,87.81
2021-06-13,Tomato,Pune,2588.75,102.21
2021-06-14,Tomato,Pune,2422.77,121.19
2021-06-15,Tomato,Pune,2530.32,137.38
2021-06-16,Tomato,Pune,2363.6,101.01
2021-06-17,Tomato,Pune,2597.65,67.34
2021-06-18,Tomato,Pune,2564.09,98.43
2021-06-19,Tomato,Pune,2296.12,82.11
2021-06-20,Tomato,Pune,2318.64,67.38
2021-06-21,Tomato,Pune,2337.21,110.25
2021-06-22,Tomato,Pune,2335.41,121.81
2021-06-23,Tomato,Pune,2588.35,110.0
2021-06-24,Tomato,Pune,2413.43,62.99
2021-06-25,Tomato,Pune,2297.89,100.35
2021-06-26,Tomato,Pune,2271.64,101.44
2021-06-27,Tomato,Pune,2568.69,66.97
2021-06-28,Tomato,Pune,2589.45,104.09
2021-06-29,Tomato,Pune,2400.79,87.66
2021-06-30,Tomato,Pune,2260.29,79.6
2021-07-01,Tomato,Pune,2567.73,114.75
2021-07-02,Tomato,Pune,2189.52,98.53
2021-07-03,Tomato,Pune,2406.81,93.63
2021-07-04,Tomato,Pune,2121.15,99.69
2021-07-05,Tomato,Pune,2582.08,82.27
2021-07-06,Tomato,Pune,2324.91,84.23
2021-07-07,Tomato,Pune,2411.62,99.66
2021-07-08,Tomato,Pune,2248.63,84.89
2021-07-09,Tomato,Pune,2502.8,70.21
2021-07-10,Tomato,Pune,2391.3,66.44
2021-07-11,Tomato,Pune,2412.3,112.46
